Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
4025,0.00,-4.06,-0.19,-0.70,0.03,9.78,-0.07,0.08,-0.44,0.00
4040,0.00,-4.06,-0.19,-0.69,0.04,9.78,0.25,-0.29,0.04,0.00
4052,0.06,-4.06,-0.25,-0.69,0.04,9.78,0.26,-0.20,0.09,0.00
4064,0.06,-4.12,-0.38,-0.71,0.06,9.78,0.40,-0.34,0.22,0.00
4076,0.12,-4.31,-0.62,-0.73,0.11,9.77,0.39,-0.43,0.27,0.00
4088,0.19,-4.44,-1.00,-0.76,0.17,9.77,-0.02,-0.36,-0.19,0.00
4100,0.19,-4.62,-1.50,-0.79,0.25,9.77,-0.07,-0.33,-0.60,0.00
4112,0.31,-4.69,-2.56,-0.80,0.44,9.76,-0.29,-0.23,-0.79,0.00
4126,0.31,-4.62,-3.19,-0.79,0.54,9.75,-0.18,-0.15,-0.63,0.00
4138,0.31,-4.50,-3.88,-0.77,0.66,9.75,0.00,-0.24,-0.25,0.00
4151,0.31,-4.25,-4.31,-0.69,0.76,9.75,1.72,-0.40,0.82,0.00
4163,0.38,-4.12,-4.56,-0.70,0.78,9.74,-0.30,1.91,2.15,0.00
4179,0.31,-4.31,-4.56,-0.74,0.78,9.74,-1.92,3.03,2.05,0.00
4192,0.06,-4.94,-4.19,-0.84,0.71,9.74,0.47,0.85,1.46,0.00
4203,359.94,-5.50,-3.88,-0.94,0.66,9.73,0.24,1.93,2.68,0.00
4255,359.69,-11.38,-0.69,-1.94,0.12,9.61,-0.79,-0.03,-1.73,0.00
4268,359.69,-12.62,0.00,-2.14,0.00,9.56,-0.42,0.25,-1.40,0.00
4281,359.81,-13.81,0.50,-2.34,-0.08,9.52,-0.93,-1.00,-3.62,0.00
4293,0.19,-15.81,1.12,-2.67,-0.19,9.43,-0.56,-1.00,-3.45,0.00
4304,0.56,-16.50,1.00,-2.78,-0.16,9.40,-0.03,-0.83,-2.78,0.00
4316,1.00,-17.06,0.62,-2.88,-0.10,9.37,0.42,0.94,-0.62,0.00
4328,1.50,-17.62,0.19,-2.97,-0.03,9.34,0.32,2.03,0.81,0.00
4341,2.00,-18.06,0.00,-3.14,-0.02,9.28,1.05,2.10,2.35,0.00
4354,3.00,-19.50,0.56,-3.27,-0.09,9.24,0.73,-1.42,-1.03,0.00
4366,3.44,-20.25,0.94,-3.39,-0.15,9.19,-0.03,-0.99,-2.89,0.00
4378,3.81,-20.69,1.19,-3.47,-0.19,9.16,-0.10,-0.42,-4.29,0.00
4391,4.19,-20.81,1.25,-3.49,-0.20,9.16,0.98,-1.16,-7.26,0.00
4403,4.88,-20.06,0.38,-3.36,-0.06,9.21,0.68,-1.39,-8.08,0.00
4415,5.19,-18.88,-0.75,-3.18,0.12,9.27,-0.03,-0.91,-8.67,0.00
4426,5.56,-17.06,-2.31,-2.87,0.38,9.36,0.51,1.02,-7.69,0.00
4441,5.94,-14.38,-4.19,-2.44,0.70,9.47,2.89,1.12,-4.69,0.00
4454,6.62,-7.31,-8.19,-1.25,1.39,9.62,3.56,0.28,-0.20,0.00
4466,6.75,-3.75,-10.06,-0.64,1.71,9.63,1.31,0.97,17.56,0.00
4478,6.88,-0.75,-11.38,-0.13,1.94,9.61,0.41,2.01,26.35,0.00
